Date,Close,High,Low,Open,Volume,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS
2020-01-01,675.3241577148438,683.1528519736394,673.4900624593615,679.0819357370663,14004468.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,686.8212280273438,689.3487905881979,676.397899264457,676.397899264457,17710316.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,687.64892578125,689.6620173362833,681.3188499893047,685.7923735060406,20984698.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,671.70068359375,683.5107670428088,670.13493269889,679.9767186772816,24519177.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,682.0345458984375,686.4633346701793,677.0688889990518,679.5293205694625,16683622.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,676.9124145507812,686.4410035098094,675.5032624964547,677.7400241132464,16047902.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,692.5026245117188,693.3973052036212,685.0094646794911,688.2975058097518,14982742.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,692.3460693359375,696.9537946408119,688.7672268918529,694.2472957890357,12478359.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,690.5789794921875,697.2892636445985,688.2080160085029,691.182918802657,18282382.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,684.1818237304688,693.3972733335526,680.8043146862556,688.9237506296278,15816535.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,681.698974609375,688.8789956511123,679.19380913835,687.067237525864,15817859.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-16,687.9842529296875,690.4223472080394,683.5554644082378,684.0028644434916,12847975.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-17,707.2652587890625,709.0322829800654,694.8288390890643,694.9630411899628,29463471.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-20,685.5015258789062,719.7911481994419,682.839761284159,719.7911481994419,32545850.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,686.1950073242188,691.5408742450458,680.8714775601642,683.8240435553602,18922720.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,685.9488525390625,691.9433921150559,684.9423069375898,690.7131763493682,10322817.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,683.0411376953125,689.796156393504,680.2899048582964,687.3580618125278,11247739.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,680.670166015625,687.2909825261135,679.3280852091012,683.1082008428737,14628445.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,673.9597778320312,681.9674086637826,673.2663704558863,677.6952189115842,13387750.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,658.3919067382812,675.5031818296184,654.7459935025485,674.8768456496997,24532236.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,662.0155639648438,668.5245158029838,654.9473470644701,659.4208703121658,24746565.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,645.865966796875,661.9482981087504,644.1884108522094,661.6351599067466,22402689.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,631.5059814453125,650.1158766250334,629.5152871221561,650.0040116804691,34750310.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,619.8076782226562,626.2719547408867,609.7646194987522,612.8289902103342,30712290.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,638.1044921875,640.8333280510134,625.3101998110101,626.2943485822723,25383901.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,647.9908447265625,649.9144676381121,639.8490725294265,641.906837798755,18472100.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,652.1512451171875,656.2668952091881,644.2331428592124,650.4960860546478,15538577.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,641.3478393554688,649.7133433335028,638.9544787429636,649.1094039600182,12209212.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,642.22021484375,646.6490042608419,630.969275278225,638.8203083482963,15142476.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,649.8922119140625,655.9090886918525,646.4475719077193,647.4988515504008,13999816.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,657.7432861328125,659.7787743619559,650.8987994375913,651.4132707150139,13533565.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,659.4655151367188,661.0760000110254,654.2985851368666,661.0760000110254,13565659.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-14,665.4825439453125,671.6783575404241,650.0488229864293,660.8524216851458,21227841.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-17,661.2996826171875,673.7808361092095,659.5326584603905,666.1087404521531,13149130.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-18,656.4459228515625,660.248435272722,651.9723999060855,660.248435272722,11127161.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,672.7296142578125,673.9150960904617,659.8905874009041,661.7918138192991,14084409.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-20,664.7443237304688,674.6084467350322,663.7825121618259,669.687583672214,16892268.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,646.40283203125,660.7404777544862,643.9871345353313,657.4971707893623,21370214.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,633.6309204101562,649.2882495489266,630.7678229370605,649.2882495489266,27745062.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,622.7155151367188,631.8191601622372,620.6353526146177,630.7678804610105,29362748.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,620.1431884765625,623.5206972699094,612.4262996742075,620.9260041253467,25054993.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,594.3756713867188,607.0581581658521,592.7428492925397,606.1186837322065,39315769.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,588.7838134765625,612.426378055896,582.0511321802886,606.2081680239584,29500495.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,600.7280883789062,605.6713484615526,591.4007735026032,594.8454135797672,27398798.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,599.3189697265625,605.6266480626504,585.0931280116588,604.821435403794,22105261.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,586.5469970703125,607.4831207123542,584.2431048990697,604.9108243565992,30510390.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,568.5857543945312,576.2579099445863,555.2099199542964,568.1384140570675,33734039.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,498.4184265136719,555.1651580471522,489.85162058131226,554.7401548853941,88187018.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,516.0442504882812,527.1833252860168,495.66729762910234,495.66729762910234,59578576.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,475.536376953125,492.5357890300457,469.13923040549446,485.37816384371683,55970485.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,494.4593811035156,509.98250923399024,421.58557799627334,446.45838815033005,73297403.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,454.37652587890625,483.0071128058158,449.5898351157526,474.44030673011787,38482258.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,450.93194580078125,474.19430109253625,448.7846523850041,468.4905324264047,45445979.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,433.2615051269531,463.41311163950786,429.9063628131876,458.6711544738802,44730415.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,410.535888671875,432.59039199750924,399.1283828327535,411.6095352262922,61404010.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,455.3830871582031,462.9657149231966,416.03836966442924,420.2882223245293,63360475.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,395.4825134277344,424.98544483853334,391.72473514239124,409.86489349215907,40670949.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,422.03289794921875,433.93247910305325,400.7389011910396,416.0383584084689,45734887.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,484.1478576660156,515.1494078462537,430.912866475202,431.15890365113535,73130298.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,476.9678955078125,499.64870950698065,466.29852893357656,490.209558827126,45744488.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,476.699462890625,495.3540929516579,468.0208212280606,489.8516573515531,41657940.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,460.9750061035156,480.815118140311,456.30017996614265,465.51565999753865,30229866.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,498.239501953125,505.4194933506304,468.8260394087323,480.43484934010263,44292810.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
